key	value_2026	effective_from	source_url	value_2025	hist_effective_from	hist_effective_to	hist_source_url
k401_employee_deferral	24500	2026-01-01	https://www.irs.gov/retirement-plans/cola-increases-for-dollar-limitations-on-benefits-and-contributions	23500	2025-01-01	2025-12-31	https://www.irs.gov/retirement-plans/cola-increases-for-dollar-limitations-on-benefits-and-contributions
k401_catchup_50plus	8000	2026-01-01	https://www.irs.gov/retirement-plans/cola-increases-for-dollar-limitations-on-benefits-and-contributions	7500	2025-01-01	2025-12-31	https://www.irs.gov/retirement-plans/cola-increases-for-dollar-limitations-on-benefits-and-contributions
ira_contribution	7500	2026-01-01	https://www.irs.gov/retirement-plans/plan-participant-employee/retirement-topics-ira-contribution-limits	7000	2025-01-01	2025-12-31	https://www.irs.gov/retirement-plans/plan-participant-employee/retirement-topics-ira-contribution-limits
ira_catchup_50plus	1100	2026-01-01	https://www.irs.gov/newsroom/401k-limit-increases-to-24500-for-2026-ira-limit-increases-to-7500	1000	2025-01-01	2025-12-31	https://www.irs.gov/newsroom/401k-limit-increases-to-24500-for-2026-ira-limit-increases-to-7500
hsa_self_only	4400	2026-01-01	https://www.irs.gov/publications/p969	4300	2025-01-01	2025-12-31	https://www.irs.gov/publications/p969
hsa_family	8750	2026-01-01	https://www.irs.gov/publications/p969	8550	2025-01-01	2025-12-31	https://www.irs.gov/publications/p969
standard_deduction_single	16100	2026-01-01	https://www.irs.gov/pub/irs-drop/rp-25-32.pdf	15750	2025-01-01	2025-12-31	https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
standard_deduction_mfj	32200	2026-01-01	https://www.irs.gov/pub/irs-drop/rp-25-32.pdf	31500	2025-01-01	2025-12-31	https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
gift_annual_exclusion	19000	2026-01-01	https://www.irs.gov/businesses/small-businesses-self-employed/frequently-asked-questions-on-gift-taxes	19000	2025-01-01	2025-12-31	https://www.irs.gov/businesses/small-businesses-self-employed/frequently-asked-questions-on-gift-taxes
ss_wage_base	184500	2026-01-01	https://www.irs.gov/publications/p15	176100	2025-01-01	2025-12-31	https://www.irs.gov/publications/p15
ibond_composite_rate	4.26	2026-05-01	https://www.treasurydirect.gov/files/savings-bonds/i-bond-rate-chart.pdf	3.98	2025-05-01	2025-10-31	https://www.treasurydirect.gov/files/savings-bonds/i-bond-rate-chart.pdf
